ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
SimpleTimeZone.SimpleTimeZone(int,String,int,int,int,int,int,int,int,int,int)	Constructs a SimpleTimeZone with the given base time zone offset from GMT time zone ID and rules for starting and ending the daylight time
ZipException.ZipException(String)	Constructs a ZipException with the specified detail message
NavigableMap.lastEntry()	Returns a key value mapping associated with the greatest key in this map or null if the map is empty
AbstractQueuedSynchronizer.ConditionObject.awaitNanos(long)	Implements timed condition wait
Preferences.getByteArray(String,byte[])	Returns the byte array value represented by the string associated with the specified key in this preference node Valid strings are Base64 encoded binary data as defined in RFC 2045 Section 6 8 with one minor change the string must consist solely of characters from the Base64 Alphabet no newline characters or extraneous characters are permitted This method is intended for use in conjunction with putByteArray java lang String byte
ThreadPoolExecutor.getTaskCount()	Returns the approximate total number of tasks that have ever been scheduled for execution Because the states of tasks and threads may change dynamically during computation the returned value is only an approximation
Dictionary.elements()	Returns an enumeration of the values in this dictionary The general contract for the elements method is that an Enumeration is returned that will generate all the elements contained in entries in this dictionary
BlockingQueue.offer(E)	Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions returning true upon success and false if no space is currently available When using a capacity restricted queue this method is generally preferable to add E which can fail to insert an element only by throwing an exception
ExecutorService.shutdownNow()	Attempts to stop all actively executing tasks halts the processing of waiting tasks and returns a list of the tasks that were awaiting execution
Date.Date(String)	Allocates a Date object and initializes it so that it represents the date and time indicated by the string s which is interpreted as if by the parse java lang String method
ConcurrentHashMap.putAll(Map)	Copies all of the mappings from the specified map to this one
CurrencyNameProvider.getSymbol(String,Locale)	Gets the symbol of the given currency code for the specified locale
Arrays.equals(Object[],Object[])	Returns true if the two specified arrays of Objects are equal to one another The two arrays are considered equal if both arrays contain the same number of elements and all corresponding pairs of elements in the two arrays are equal Two objects e1 and e2 are considered equal if e1 null e2 null e1 equals e2 In other words the two arrays are equal if they contain the same elements in the same order Also two array references are considered equal if both are null
LinkedList.size()	Returns the number of elements in this list
ForkJoinTask.complete(V)	Completes this task and if not already aborted or cancelled returning the given value as the result of subsequent invocations of join and related operations This method may be used to provide results for asynchronous tasks or to provide alternative handling for tasks that would not otherwise complete normally Its use in other situations is discouraged This method is overridable but overridden versions must invoke super implementation to maintain guarantees
Deque.removeFirst()	Retrieves and removes the first element of this deque This method differs from pollFirst only in that it throws an exception if this deque is empty
TimeZoneNameProvider.getDisplayName(String,boolean,int,Locale)	Returns a name for the given time zone ID that s suitable for presentation to the user in the specified locale The given time zone ID is GMT or one of the names defined using Zone entries in the tz database a public domain time zone database at ftp elsie nci nih gov pub
AbstractCollection.toArray(T[])	Returns an array containing all of the elements in this collection the runtime type of the returned array is that of the specified array
LinkedHashMap.get(Object)	Returns the value to which the specified key is mapped or null if this map contains no mapping for the key
